"genes","pval","padj","log2err","ES","NES","size"
"BIOCARTA_CALCINEURIN_PATHWAY",0.260869565217391,0.475605406048115,0.117249716749792,0.437284091677444,1.16346659559173,17
"BIOCARTA_CARDIACEGF_PATHWAY",0.0102239574797403,0.0418157770132526,0.380730400722792,0.629598168447811,1.67514998047332,17
"BIOCARTA_CARM_ER_PATHWAY",0.919132149901381,1,0.0488970772260102,0.231690273843248,0.675609350889276,25
"BIOCARTA_CASPASE_PATHWAY",0.00186757674889677,0.0110181519108954,0.45505986738723,0.638374838245701,1.81972232790245,22
"BIOCARTA_CCR3_PATHWAY",0.670061099796334,0.922949173273187,0.0652353056017703,-0.322020920305254,-0.850742652538547,16
"BIOCARTA_CCR5_PATHWAY",0.0958904109589041,0.230347454454961,0.20207170902116,0.537611557960852,1.4112195824869,16
"BIOCARTA_CDMAC_PATHWAY",0.225048923679061,0.426562926562927,0.126875729929857,0.465871675105411,1.22290382544678,16
"BIOCARTA_CELLCYCLE_PATHWAY",0.0974155069582505,0.231116267991104,0.20207170902116,0.471434400692069,1.34776652952815,23
"BIOCARTA_CERAMIDE_PATHWAY",0.0909090909090909,0.220118864186661,0.206587922696891,0.489957495094132,1.38294384781627,21
"BIOCARTA_CHEMICAL_PATHWAY",0.106090373280943,0.247114933155411,0.191892240384838,0.508620415461294,1.38044984604102,18
"BIOCARTA_CHREBP_PATHWAY",0.703339882121807,0.952389820070152,0.0611692626746689,0.303181873965462,0.822867817561874,18
"BIOCARTA_CK1_PATHWAY",0.773469387755102,0.997381544494006,0.0584693210386381,-0.297132510885853,-0.773478000899615,15
"BIOCARTA_COMP_PATHWAY",2.22922514126206e-06,4.54943906380012e-05,0.627256739718528,0.843157274447517,2.21327097454862,16
"BIOCARTA_CREB_PATHWAY",0.989690721649485,1,0.0475434194201301,-0.178443294686355,-0.517847227223297,21
"BIOCARTA_CSK_PATHWAY",0.000227840570672179,0.00199860149712438,0.518848077743792,0.726241242301545,2.00837495060232,19
"BIOCARTA_CTCF_PATHWAY",0.000329666293515378,0.00269115341645206,0.49849310876659,0.686482476295774,1.98600463746636,24
"BIOCARTA_CTLA4_PATHWAY",0.00262461747835756,0.0147037393745522,0.431707695803346,0.676877510704562,1.83711747904041,18
"BIOCARTA_CXCR4_PATHWAY",0.508771929824561,0.766800195666257,0.0768736734126542,0.34122858813134,0.943646420658423,19
"BIOCARTA_DEATH_PATHWAY",0.00960242463933415,0.0397615927094582,0.380730400722792,0.537874298859381,1.63620101721181,29
"BIOCARTA_ECM_PATHWAY",0.0943025540275049,0.227235069945795,0.204294756516886,0.519618143385348,1.41029884808273,18
"BIOCARTA_EDG1_PATHWAY",0.555984555984556,0.818225983788898,0.0718276293603809,0.323970488870838,0.923495565395127,22
"BIOCARTA_EFP_PATHWAY",0.516634050880626,0.776309618152706,0.0762797180809272,0.357493938683038,0.938414435886459,16
"BIOCARTA_EGF_PATHWAY",0.166986564299424,0.34467307758591,0.148261500475107,0.416959617906582,1.24419383996171,27
"BIOCARTA_EICOSANOID_PATHWAY",0.00272130435843599,0.0150764784400886,0.431707695803346,0.627117733561496,1.78763333642892,22
"BIOCARTA_EIF4_PATHWAY",0.808300395256917,1,0.0549073703290958,0.26809047423276,0.775589972754699,24
"BIOCARTA_EIF_PATHWAY",0.853360488798371,1,0.05378728077603,-0.270880531641746,-0.715635561166337,16
"BIOCARTA_EPO_PATHWAY",0.200779727095517,0.391765321161984,0.135002033828631,0.452144655105072,1.25037789988895,19
"BIOCARTA_ERAD_PATHWAY",0.914230019493177,1,0.0486034247259069,0.237642083002908,0.657184388481516,19
"BIOCARTA_ERK_PATHWAY",0.0524271844660194,0.144594125252032,0.276500599254472,0.497427794598588,1.46595012858538,26
"BIOCARTA_ETS_PATHWAY",0.304347826086957,0.535823637477036,0.107140237276725,0.425099292846417,1.13104692452727,17
"BIOCARTA_FAS_PATHWAY",0.00426530722309174,0.0217063980818918,0.407017918923954,0.558552001514881,1.70767662919674,30
"BIOCARTA_FCER1_PATHWAY",0.00533499620493038,0.0260880010021045,0.407017918923954,0.519956480184618,1.68649529553519,38
"BIOCARTA_FMLP_PATHWAY",0.0297359960420501,0.0943999874350797,0.352487857583619,0.467956149611128,1.47628688435554,34
"BIOCARTA_G1_PATHWAY",0.0131149169539682,0.0504419882844929,0.380730400722792,0.551829884613803,1.66416496464464,28
"BIOCARTA_G2_PATHWAY",0.0909090909090909,0.220118864186661,0.208955027549354,0.467129858351254,1.35141405209721,24
"BIOCARTA_GCR_PATHWAY",0.150197628458498,0.320592590092845,0.159646701919906,0.487704957318125,1.29761964165549,17
"BIOCARTA_GH_PATHWAY",0.0776699029126214,0.195988931782958,0.224966093540314,0.473100312552533,1.39425555136065,26
"BIOCARTA_GLEEVEC_PATHWAY",0.137176938369781,0.298860432178173,0.16823816568964,0.451981421380294,1.29215311994768,23
"BIOCARTA_GPCR_PATHWAY",0.738229755178908,0.977610871453368,0.0568864160475701,0.27186238753248,0.826999014389729,29
"BIOCARTA_GSK3_PATHWAY",0.0290740326413829,0.092592460641347,0.352487857583619,0.565091848551568,1.57268856015212,20
"BIOCARTA_HCMV_PATHWAY",0.0968379446640316,0.230566534914361,0.20207170902116,0.525597773361806,1.39843974126305,17
"BIOCARTA_HDAC_PATHWAY",0.962524654832347,1,0.046788296531803,0.20500648133791,0.597799352934884,25
"BIOCARTA_HER2_PATHWAY",0.0337758107566498,0.103863088383542,0.321775918075361,0.52242162480638,1.49353203580843,23
"BIOCARTA_HIF_PATHWAY",0.15234375,0.323104453870626,0.157402899305283,0.499853900954058,1.29089741702504,15
"BIOCARTA_HIVNEF_PATHWAY",0.000145802564577459,0.00140111092260183,0.518848077743792,0.550297663506195,1.93118187991701,56
"BIOCARTA_IGF1MTOR_PATHWAY",0.578947368421053,0.842718149084502,0.0702812841717392,0.328709000392963,0.909024280051343,19
"BIOCARTA_IGF1R_PATHWAY",0.982625482625483,1,0.0448645113168564,0.192874362926735,0.549798901319877,22
"BIOCARTA_IGF1_PATHWAY",0.18568665377176,0.370632043456607,0.140406238523342,0.445922281131942,1.25865096762554,21
"BIOCARTA_IL12_PATHWAY",0.0249838320935981,0.0819142035855675,0.352487857583619,0.58726502568694,1.56251565778449,17
"BIOCARTA_IL1R_PATHWAY",0.0010387046733364,0.00690169218163723,0.45505986738723,0.59725530712578,1.82600532605063,30
"BIOCARTA_IL2RB_PATHWAY",0.00184267469409264,0.0109034005567612,0.45505986738723,0.566457268139364,1.8157472220991,36
"BIOCARTA_IL2_PATHWAY",0.07421875,0.189575351213282,0.231126709673834,0.508806573996492,1.41604286153749,20
"BIOCARTA_IL6_PATHWAY",0.0340243832755656,0.104369273851428,0.321775918075361,0.537334005179565,1.51666780103606,21
"BIOCARTA_IL7_PATHWAY",0.0156635259101715,0.0576925447888452,0.352487857583619,0.644497990737225,1.69179432981622,16
"BIOCARTA_INFLAM_PATHWAY",5.26142224537247e-05,0.000611793284345636,0.557332238758646,0.728474865594471,2.07655737478767,22
"BIOCARTA_INSULIN_PATHWAY",0.147001934235977,0.316473485976269,0.159646701919906,0.458397369932662,1.29386289413072,21
"BIOCARTA_INTEGRIN_PATHWAY",0.88929889298893,1,0.0473534245254193,0.230238235222289,0.7232481317671,33
"BIOCARTA_INTRINSIC_PATHWAY",0.00892367069733914,0.0383813793433941,0.380730400722792,0.611041754777808,1.68979793846283,19
"BIOCARTA_KERATINOCYTE_PATHWAY",0.0207556134295105,0.0709593621521726,0.352487857583619,0.443772480732282,1.49097289369514,46
"BIOCARTA_LAIR_PATHWAY",3.83940946444868e-05,0.00048817008616537,0.557332238758646,0.77496804922723,2.06193057348141,17
"BIOCARTA_LIS1_PATHWAY",0.0777096114519427,0.195988931782958,0.231126709673834,-0.511012252255646,-1.42973135796673,19
"BIOCARTA_MAL_PATHWAY",0.826175869120654,1,0.0554793308704233,-0.265257785144013,-0.742149276639006,19
"BIOCARTA_MAPK_PATHWAY",0.367537313432836,0.609328634870696,0.0922597260527354,0.277677800648748,1.04367459854464,81
"BIOCARTA_MCALPAIN_PATHWAY",0.150390625,0.320662313432836,0.158514105424824,0.503723061170599,1.30088971461451,15
"BIOCARTA_MCM_PATHWAY",0.434184675834971,0.686457985509835,0.0857844408075645,0.37465836366567,1.01686260464237,18
"BIOCARTA_MEF2D_PATHWAY",0.699604743083004,0.950786875179511,0.0617054053637522,0.309885242206732,0.824500901442197,17
"BIOCARTA_MET_PATHWAY",0.0645756457564576,0.171288185030391,0.241339976815091,0.451631228812199,1.41871067666384,33
"BIOCARTA_MITOCHONDRIA_PATHWAY",0.0185187288941697,0.0646377971873288,0.352487857583619,0.581525346625107,1.60817214896928,19
"BIOCARTA_MPR_PATHWAY",0.650390625,0.903948054204309,0.0646484568421928,0.307894686659978,0.856891587947902,20
"BIOCARTA_MTA3_PATHWAY",0.179841897233202,0.362584470228229,0.144630528034484,0.47642936079147,1.26761905358513,17
"BIOCARTA_MTOR_PATHWAY",0.955598455598456,1,0.0461379160269737,0.21138303497243,0.602558881449939,22
"BIOCARTA_NDKDYNAMIN_PATHWAY",0.167338709677419,0.345028267376122,0.152144922367565,-0.470540874531466,-1.26879179667122,17
"BIOCARTA_NFAT_PATHWAY",0.00114171446776914,0.00743787926885435,0.45505986738723,0.530981235499551,1.7942590197638,47
"BIOCARTA_NFKB_PATHWAY",0.00336500775622171,0.0178989774267112,0.431707695803346,0.659855556475533,1.83642232263979,20
"BIOCARTA_NGF_PATHWAY",0.0838206627680312,0.206454834404018,0.216542836735348,0.507906944554877,1.40458504043128,19
"BIOCARTA_NKCELLS_PATHWAY",0.00589524756109021,0.0283425363513952,0.407017918923954,0.640868194366828,1.78357921889945,20
"BIOCARTA_NKT_PATHWAY",4.22610621008498e-05,0.000521741507417898,0.557332238758646,0.77134447436521,2.05228945369493,17
"BIOCARTA_NO1_PATHWAY",0.414587332053743,0.664935576669996,0.0870515867946735,0.339017623666383,1.01161748257999,27
"BIOCARTA_NOS1_PATHWAY",0.106339468302658,0.247114933155411,0.195789002148949,-0.494931502610947,-1.38473996700662,19
"BIOCARTA_NTHI_PATHWAY",0.00063026655891708,0.00450190399226486,0.477270815362862,0.663482593146226,1.89680606814927,23
"BIOCARTA_NUCLEARRS_PATHWAY",0.47565543071161,0.728415667245958,0.0782955249944794,0.32275740479612,0.986775225181679,30
"BIOCARTA_P38MAPK_PATHWAY",0.0452443696853968,0.132293478612271,0.321775918075361,0.460136273896579,1.4749411969928,36
"BIOCARTA_P53HYPOXIA_PATHWAY",0.00598150132088285,0.0284833396232517,0.407017918923954,0.610225772952584,1.72241059057902,21
"BIOCARTA_P53_PATHWAY",0.0547945205479452,0.149507559475976,0.271288554688953,0.573766614474501,1.5061258824026,16
"BIOCARTA_PAR1_PATHWAY",0.255360623781676,0.468122133421955,0.11776578836269,0.434423272456287,1.20137051924356,19
"BIOCARTA_PDGF_PATHWAY",0.154285714285714,0.32513716724243,0.154190966581424,0.415950471341194,1.2543905662483,28
"BIOCARTA_PDZS_PATHWAY",0.0907258064516129,0.220118864186661,0.211400189384923,-0.528653842483803,-1.42549073827021,17
"BIOCARTA_PGC1A_PATHWAY",0.814285714285714,1,0.0560595875032335,-0.27861512948339,-0.725274634979232,15
"BIOCARTA_PITX2_PATHWAY",0.076320939334638,0.193897432987155,0.227987202850442,0.548295966837124,1.43926594200097,16
"BIOCARTA_PML_PATHWAY",0.00934132961441403,0.0392374171507725,0.380730400722792,0.635905559166535,1.69193183589923,17
"BIOCARTA_PPARA_PATHWAY",0.0226379640847768,0.0758390756608938,0.352487857583619,0.437027106400926,1.4878409302534,49
"BIOCARTA_PROTEASOME_PATHWAY",0.923379174852652,1,0.048505983646947,0.237859678272034,0.645576438279998,18
"BIOCARTA_PTDINS_PATHWAY",0.988071570576541,1,0.0459538081039063,0.185673453075754,0.530815029853691,23
"BIOCARTA_PTEN_PATHWAY",0.108055009823183,0.248651184611776,0.190023305279108,0.5069433209087,1.37589803324203,18
"BIOCARTA_PYK2_PATHWAY",0.954261954261954,1,0.0495901956956338,-0.209781980595016,-0.643374182381704,27
"BIOCARTA_RAC1_PATHWAY",0.61328125,0.877404310880706,0.0675188953767744,0.316275698395884,0.880216506389645,20
"BIOCARTA_RACCYCD_PATHWAY",0.0986193293885602,0.233418531097184,0.199915231309662,0.457721979168123,1.33471830346555,25
"BIOCARTA_RACC_PATHWAY",0.26734693877551,0.484324164448388,0.11776578836269,-0.448960626843546,-1.16870808616088,15
"BIOCARTA_RAS_PATHWAY",0.274131274131274,0.493041859948335,0.112378519110475,0.39886926387976,1.13699861258732,22
"BIOCARTA_RHO_PATHWAY",0.3046875,0.535949868073879,0.106323255932708,0.404776651889555,1.126520602757,20
"BIOCARTA_SHH_PATHWAY",0.048828125,0.139508928571429,0.287857117255149,0.595734264154365,1.53851319628066,15
"BIOCARTA_SPPA_PATHWAY",0.201565557729941,0.392915317212361,0.135002033828631,0.476416821589813,1.25058462396872,16
"BIOCARTA_SPRY_PATHWAY",0.430528375733855,0.682295365663796,0.0860347242455604,0.385400531172902,1.01166868278464,16
"BIOCARTA_STATHMIN_PATHWAY",0.448343079922027,0.700476122807244,0.0835990603684159,0.359898900154426,0.995278006422215,19
"BIOCARTA_STRESS_PATHWAY",0.0242405614233362,0.0797386888925533,0.352487857583619,0.53469784483671,1.52862807131563,23
"BIOCARTA_TCR_PATHWAY",0.0139139029501542,0.0527041778414932,0.380730400722792,0.481670988339346,1.6063306233825,44
"BIOCARTA_TEL_PATHWAY",0.0968379446640316,0.230566534914361,0.20207170902116,0.524201778202604,1.3947254654267,17
"BIOCARTA_TFF_PATHWAY",0.0320075391093246,0.0997119598421327,0.321775918075361,0.56285184535398,1.56645448083814,20
"BIOCARTA_TGFB_PATHWAY",0.0287257288411029,0.091629119110376,0.352487857583619,0.561874044542787,1.55382769625854,19
"BIOCARTA_TH1TH2_PATHWAY",0.000366412330863007,0.0029196201662391,0.49849310876659,0.759952436873513,1.99485994077648,16
"BIOCARTA_TID_PATHWAY",0.00135989497223655,0.00852598728674955,0.45505986738723,0.693942644687981,1.88343406576003,18
"BIOCARTA_TNFR1_PATHWAY",0.258003766478343,0.471239756124827,0.114750719227023,0.374411690860651,1.13895159285599,29
"BIOCARTA_TNFR2_PATHWAY",0.00431233858187226,0.0218900435628033,0.407017918923954,0.690143367062301,1.81161252934351,16
"BIOCARTA_TOB1_PATHWAY",3.85654368070642e-05,0.00048817008616537,0.557332238758646,0.804097074780874,2.1107387319858,16
"BIOCARTA_TOLL_PATHWAY",0.00329566167436178,0.0177186111524827,0.431707695803346,0.6211256032745,1.79692617240351,24
"BIOCARTA_TPO_PATHWAY",0.770750988142292,0.996111645709073,0.0571258510018113,0.278816561983265,0.806620713887845,24
"BIOCARTA_VDR_PATHWAY",0.845849802371542,1,0.052805004567129,0.259379729454633,0.750389650645249,24
"BIOCARTA_VEGF_PATHWAY",0.0608999760754482,0.162399936201195,0.321775918075361,0.491673339831256,1.46713713851423,27
"BIOCARTA_VIP_PATHWAY",0.343195266272189,0.579721733567887,0.0995791200495904,0.374378050069103,1.09168722190515,25
"BIOCARTA_WNT_PATHWAY",0.6699604743083,0.922949173273187,0.0637845390312975,0.299441629308116,0.866289359147715,24
"KEGG_ABC_TRANSPORTERS",0.75,0.982289323497343,0.0550211117163117,0.249347798396502,0.829237983603697,43
"KEGG_ACUTE_MYELOID_LEUKEMIA",0.122710622710623,0.27329760069181,0.170932335370056,0.365691910297784,1.28333743287166,56
"KEGG_ADHERENS_JUNCTION",0.00726709012107864,0.033107472077807,0.407017918923954,0.431526735556665,1.60431311501135,73
"KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY",0.00543228291969528,0.026370305435414,0.407017918923954,0.462660694651095,1.65531956684886,63
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",0.752136752136752,0.983828321957818,0.0619762736001998,-0.261032749282294,-0.827403561708743,30
"KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION",0.0477064220183486,0.137879832422973,0.282013350011725,0.445280386956922,1.45482052852074,39
"KEGG_ALLOGRAFT_REJECTION",7.73490137084609e-07,1.77813824617151e-05,0.659444398037935,0.737994159480142,2.27857205586114,31
"KEGG_ALPHA_LINOLENIC_ACID_METABOLISM",0.610997963340122,0.876611138221122,0.0697792517076235,-0.335007470070961,-0.885051640241982,16
"KEGG_ALZHEIMERS_DISEASE",0.777215189873418,0.998586927828205,0.0686325631836726,-0.200043109943116,-0.881671729726057,160
"KEGG_AMINOACYL_TRNA_BIOSYNTHESIS",0.762419006479482,0.991610224380055,0.0618406035753285,-0.245453822869732,-0.832546836709674,41
"KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM",0.832720588235294,1,0.0501934252649434,0.23455655444134,0.780047810715688,43
"KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS",0.882136279926335,1,0.0476387259290825,0.215314804915369,0.74257200330467,51
"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",3.18052295814364e-07,8.15518707216319e-06,0.674962860011025,0.618438786935965,2.22990802236624,67
"KEGG_APOPTOSIS",1.25872099417105e-05,0.000199796983201754,0.593325476396405,0.525107945034002,1.98488718886022,83
"KEGG_ARACHIDONIC_ACID_METABOLISM",0.681050656660413,0.934867064736325,0.0605092988656667,0.252708956008798,0.864598054488742,50
"KEGG_ARGININE_AND_PROLINE_METABOLISM",0.708487084870849,0.957414979555201,0.0578529757032509,0.24452278911888,0.849583911659339,53
"KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC",0.0405398138939641,0.12065420801775,0.321775918075361,0.382083500021001,1.43104347350762,74
"KEGG_ASTHMA",9.29308217622964e-08,3.09769405874321e-06,0.704975715167238,0.819208473439368,2.34200507978757,23
"KEGG_AUTOIMMUNE_THYROID_DISEASE",1.09827164177571e-05,0.000178580754760278,0.593325476396405,0.655002180622903,2.14002378390907,39
"KEGG_AXON_GUIDANCE",0.922413793103448,1,0.0425877779273254,0.192757086230031,0.777787543634181,128
"KEGG_BASAL_CELL_CARCINOMA",0.0032844415890025,0.0177058845768329,0.431707695803346,0.496490367352721,1.73315681304488,54
"KEGG_BASAL_TRANSCRIPTION_FACTORS",0.48314606741573,0.738191088488511,0.0774767547848578,0.32043823196071,0.979684753319873,30
"KEGG_BASE_EXCISION_REPAIR",0.988909426987061,1,0.0425877779273254,0.175319277563667,0.55308932312784,34
"KEGG_BETA_ALANINE_METABOLISM",0.777992277992278,0.998586927828205,0.0555947097758869,0.276017716120787,0.78680356873389,22
"KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS",0.942148760330578,1,0.0498907356726307,-0.21436542065019,-0.632992150052978,22
"KEGG_BLADDER_CANCER",0.00532509825278765,0.0260880010021045,0.407017918923954,0.520584577872609,1.70818770225054,41
"KEGG_BUTANOATE_METABOLISM",0.741452991452991,0.978815830300979,0.0626618230932491,-0.263642996538289,-0.835677342996682,30
"KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",1.28602966372875e-06,2.73623332708245e-05,0.643551836150722,0.578420507115509,2.166397898902,74
"KEGG_CALCIUM_SIGNALING_PATHWAY",0.183206106870229,0.366412213740458,0.16440575583821,-0.255234338924699,-1.13847032985399,173
"KEGG_CARDIAC_MUSCLE_CONTRACTION",0.671945701357466,0.924908054174076,0.0702812841717392,-0.237882807596354,-0.896838728382061,74
"KEGG_CELL_ADHESION_MOLECULES_CAMS",7.89155484977472e-07,1.79353519313062e-05,0.659444398037935,0.50709947946692,2.02250643788684,122
"KEGG_CELL_CYCLE",0.00071124151911759,0.00497371691690622,0.477270815362862,0.415720571413122,1.66660060519373,124
"KEGG_CHEMOKINE_SIGNALING_PATHWAY",2.08412247856516e-10,1.60317113735782e-08,0.826657301178302,0.540288685235165,2.2592486535368,160
"KEGG_CHRONIC_MYELOID_LEUKEMIA",0.00132279156603105,0.00837209851918388,0.45505986738723,0.457679443892993,1.69487896882606,72
"KEGG_CITRATE_CYCLE_TCA_CYCLE",0.983050847457627,1,0.0437125833579551,0.188438756592343,0.573226283301421,29
"KEGG_COLORECTAL_CANCER",0.0333797798118097,0.103183245167882,0.321775918075361,0.401765174938125,1.43368197513941,62
"KEGG_COMPLEMENT_AND_COAGULATION_CASCADES",1.30292722492952e-10,1.04234177994362e-08,0.826657301178302,0.69930352235969,2.49768414245627,60
"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM",0.195933456561922,0.386456521818387,0.132846300606183,0.380693786174339,1.20099552907225,34
"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",1.18203026870615e-27,7.88020179137431e-25,1.36517960216169,0.666752107320637,2.85194691321884,195
"KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY",0.00341043968744009,0.0180925182357565,0.431707695803346,0.520657987390111,1.71805095669639,42
"KEGG_DILATED_CARDIOMYOPATHY",0.305206463195691,0.536087173552605,0.100990587455923,0.282573407317632,1.08171737635837,88
"KEGG_DNA_REPLICATION",0.614953271028037,0.877866783715571,0.0652353056017703,0.283894202763802,0.910007054427255,36
"KEGG_DORSO_VENTRAL_AXIS_FORMATION",0.584493041749503,0.849553839752185,0.0707899094502623,0.319467317662193,0.91331340562158,23
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450",0.021352818658724,0.0722599616200474,0.352487857583619,0.461764129807641,1.5237148458258,42
"KEGG_DRUG_METABOLISM_OTHER_ENZYMES",0.133333333333333,0.292718624222466,0.16440575583821,0.415334248814431,1.2823529848221,31
"KEGG_ECM_RECEPTOR_INTERACTION",0.000146416091411891,0.00140111092260183,0.518848077743792,0.485136562382054,1.82342522808979,81
"KEGG_ENDOCYTOSIS",0.0348452888452412,0.106302062844496,0.321775918075361,0.307192418405035,1.30170806922787,179
"KEGG_ENDOMETRIAL_CANCER",0.11070780399274,0.253046409126264,0.179782316298324,0.37424710290768,1.30187952312156,52
"KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION",0.0407766040088216,0.120998824951993,0.321775918075361,0.406576717128664,1.45849809033023,64
"KEGG_ERBB_SIGNALING_PATHWAY",0.793795620437956,1,0.0520570030732099,0.217342713191698,0.829004460771065,86
"KEGG_ETHER_LIPID_METABOLISM",0.895131086142322,1,0.0477342401407188,0.235882356009822,0.721169712945887,30
"KEGG_FATTY_ACID_METABOLISM",0.0568807339449541,0.153731713364741,0.257206466468838,0.428942326499863,1.40144080094823,39
"KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY",0.167883211678832,0.345614711934156,0.143758989039275,0.325810233710586,1.21128446484903,73
"KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS",5.25484363630673e-05,0.000611793284345636,0.557332238758646,0.490484530444315,1.89577376414501,93
"KEGG_FOCAL_ADHESION",4.80204843757259e-06,8.65233952715782e-05,0.610526878385931,0.430271164893776,1.84317106170131,196
"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM",0.405504587155963,0.654567533746511,0.0857844408075645,0.331319816915949,1.03432730845167,32
"KEGG_GALACTOSE_METABOLISM",0.0731225296442688,0.187493665754535,0.234392647294686,0.478774627787961,1.38510255384647,24
"KEGG_GAP_JUNCTION",0.864864864864865,1,0.0475434194201301,0.20543865659781,0.785343612034104,87
"KEGG_GLIOMA",0.96309963099631,1,0.0437125833579551,0.195376191650521,0.700866012276106,64
"KEGG_GLUTATHIONE_METABOLISM",0.958515283842795,1,0.05163559644842,-0.196396003845209,-0.672060279776342,43
"KEGG_GLYCEROLIPID_METABOLISM",0.925764192139738,1,0.0532386494755899,-0.205252768746533,-0.702367820566168,43
"KEGG_GLYCEROPHOSPHOLIPID_METABOLISM",0.700440528634361,0.950786875179511,0.0668966276500666,-0.233510000406798,-0.880568648598755,73
"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM",0.811676082862524,1,0.0524827622635459,0.254714562732629,0.774835733043168,29
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS",0.0811808118081181,0.201441220367539,0.213927855492356,0.393048036060397,1.36562849274497,53
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE",0.154440154440154,0.32513716724243,0.155241966228839,0.448196912938677,1.27760976922708,22
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE",0.535934291581109,0.796336243062569,0.0768736734126542,-0.308413141025595,-0.942688379189168,26
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE",0.294921875,0.521985619469027,0.108394255853397,0.444601812317086,1.14820616590032,15
"KEGG_GLYCOSAMINOGLYCAN_DEGRADATION",0.777777777777778,0.998586927828205,0.0560595875032335,0.280383388723353,0.775382809013154,19
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES",0.997959183673469,1,0.0466948041282054,-0.163889698504167,-0.426628092594491,15
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES",0.455268389662028,0.708037931045144,0.0838361057159929,0.35002296417236,1.00066782353008,23
"KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS",0.965931863727455,1,0.0473534245254193,-0.199545392446188,-0.598425434903358,23
"KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM",0.783673469387755,1,0.0578529757032509,-0.289988238275132,-0.754880447638453,15
"KEGG_GNRH_SIGNALING_PATHWAY",0.996447602131439,1,0.0404114482034376,0.157233368494793,0.606236288203661,94
